"char_id","char_name","char_bd","char_oc","char_img","char_status","char_nickname","char_appearance","char_portrayed","char_category","char_bcs_a"
"54","Duane Chow","Unknown","Owner of Golden Moth Chemical","https://res.cloudinary.com/dwvrok1le/image/upload/v1539373871/ssk1t4hvo9tmhvdt5hcn.jpg","Deceased","Chow","3,5,","James Ning","Breaking Bad","None"
"55","Stacey Ehrmantraut","Unknown","Unknown","https://vignette.wikia.nocookie.net/breakingbad/images/b/b3/StaceyEhrmantraut.png/revision/latest?cb=20150310150049","Alive","Mike's daugter-in-la","3","Kerry Condon","Breaking Bad","None"
"56","Officer Saxton","Unknown","APD Officer","https://vignette.wikia.nocookie.net/breakingbad/images/f/f3/Officer_Saxton_-_I.F.T..png/revision/latest?cb=20131025090606","Alive","Saxton","3","Stoney Westmoreland","Breaking Bad","None"
"57","Jack Welker","Unknown","Criminal Gang Leader","https://vignette.wikia.nocookie.net/breakingbad/images/c/ce/Jack5x13.png/revision/latest?cb=20130912225922","Deceased","Uncle Jack","5","Michael Bowen","Breaking Bad","None"
"112","Kimberly Wexler","Unknown","Lawyer","https://vignette.wikia.nocookie.net/breakingbad/images/f/f7/BCS_S4_Kim_Wexler.jpg/revision/latest?cb=20180824195845","?","Kim","None","Rhea Seehorn","Better Call Saul","1,2,3,4,"
"113","Howard Hamlin","Unknown","Lawyer","https://vignette.wikia.nocookie.net/breakingbad/images/5/57/BCS_S4_Howard_Hamlin.jpg/revision/latest?cb=20180824195855","?","Howard","None","Patrick Fabian","Better Call Saul","1,2,3,4,"
"114","Charles McGill","Unknown","Lawyer","https://vignette.wikia.nocookie.net/breakingbad/images/3/3e/BCS_S3_ChuckMcGill.jpg/revision/latest?cb=20170327185308","?","Chuck","None","Michael McKean","Better Call Saul","1,2,3,4,"
"115","Ignacio Varga","Unknown","Crimal Gang Lieutenant","https://vignette.wikia.nocookie.net/breakingbad/images/b/b1/BCS_S4_Nacho_Varga.jpg/revision/latest?cb=20180824195910","?","Nacho","None","Michael Mano","Better Call Saul","1,2,3,4,"
"116","Eduardo Salamanca","Unknown","Cartel Member","https://vignette.wikia.nocookie.net/breakingbad/images/8/85/LaloProfileBCS.png/revision/latest?cb=20180925050152","?","Lalo","None","Tony Dalton","Better Call Saul","4"
"117","Stacey Ehrmantraut","Unknown","Mother","https://vignette.wikia.nocookie.net/breakingbad/images/b/b3/StaceyEhrmantraut.png/revision/latest?cb=20150310150049","?","Stacey","None","Kerry Condon","Better Call Saul","1,2,3,4,"
